id,name,color1,color2,color3,color4,color5,favorites,labels
100034,Dark Natural Celestial Wedding Palette 1,#0c1e2f,#0b332e,#330f0f,#dededa,#d2af58,3,Wedding
100035,Dark Natural Celestial Wedding Palette 2,#15213e,#253564,#13463b,#cd9d4e,#f0e5d4,5,Wedding
100038,November sunset,#ff9020,#e36c4e,#d84242,#7a2477,#3d1b81,15,Sunset
10008,Pastellllll,#ffd9ea,#ffffdf,#e2ffcf,#d1fff2,#e5e1ff,6,Pastel
100087,creamyyyy,#f9f0f0,#ffe2ea,#efd2ea,#dfc2ea,#d8c1ee,3,Cream|Purple
10012,FahNightSky,#041525,#005273,#595b70,#395759,#ffffff,2,Night
100158,Cyan tints,#00ffff,#32ffff,#66ffff,#99ffff,#ccffff,2,Cyan
100219,Coral2MAiNA,#f63533,#ff0067,#ff3429,#ff2100,#ff0033,2,Coral
100230,Mono beige,#f0e9de,#ece1d4,#e5dacc,#ddd2c4,#d6cebf,8,Beige
100243,Sunny Vintage,#e3c926,#f62d2d,#3f7e7a,#5f9a87,#9ae1cd,5,Retro
10026,Minty Lavender,#bcf4f5,#a805fa,#cc7bf6,#cdaef3,#e9d1e5,4,Purple
100261,Mysterious Neon,#8800ff,#ff8800,#88ff00,#0088ff,#ff0088,6,Neon
100281,Rainbow From Dark Red To Light Blue,#661206,#a46915,#acc033,#69d356,#6ddde6,2,Rainbow|Gradient
100292,the cold and code,#bdbef1,#8881a7,#dbdcec,#c8a8ff,#a5aaff,5,Cold
100295,Monochromatic Mints,#9ae5d7,#b3ebe1,#ccf2eb,#e5f8f5,#ffffff,7,Mint
100308,neon me,#ff5b5b,#ff9a5b,#d8ff5b,#74ff5b,#5bff9d,8,Neon
10036,Cream Fawn,#834d20,#bb7744,#ee8877,#eebb99,#ffeeee,3,Cream
100362,Blue to Orange Gradient,#0e3b5c,#5e4f6d,#9f6671,#d8897b,#f4ac7b,23,Gradient
100401,-Shades of Brown-,#aa8472,#c49b87,#ceb1a3,#ddc3b7,#e8d3ca,13,Brown
100460,neon halloween,#000000,#ff00c1,#ff9a00,#fdff12,#2fff00,9,Neon|Halloween
100470,-Skin Tones-,#dfba8c,#eac29e,#e4d0bb,#f5d8bb,#9a6f4e,4,Skin
100483,Happy Palette,#ffe26a,#55b949,#0cacdc,#ea8696,#f79747,3,Happy
100508,The Last of Winter,#eeeeee,#d4e3e6,#adc9d9,#679983,#96e895,7,Winter
100521,Lavenders at Night,#f4f0f9,#9a8b9f,#463361,#3f414e,#1f0d1b,2,Night
100550,Coffee Summer,#6e4e38,#f7e8c7,#7f613e,#fff5d9,#c08300,5,Coffee|Summer
100556,Vintage Fashion,#15011b,#e59483,#8b4651,#708e9b,#ffdaab,10,Vintage
100581,Minty Shades,#65eaaf,#c2f1ce,#daf7e5,#a6f79d,#44f35e,3,Mint
100622,Peach01,#e5a87f,#e39c6c,#d08564,#e78775,#f2a895,5,Peach
1006223,Lovely Spring,#ead1dc,#e2b3ca,#d197b5,#c2789d,#a64d79,7,Romantic
1006228,Christmas Question Mark,#be3e23,#47735b,#580c0c,#478141,#a7af65,2,Christmas
1006238,Matcha/Sage Green,#647b6a,#869b8b,#a9baab,#9cb5ad,#91a596,11,Sage
1006245,christmas party,#9ccfbf,#c2ecce,#ebfcff,#f2cfcf,#eca4b1,5,Christmas
1006286,Pinky and a bit creamy,#c67ea8,#f2eddd,#aa748f,#e3b7cd,#b87797,3,Cream
1006445,Zodiac Light Blues,#1e9bf9,#318ce7,#e8f1ff,#00c5ff,#7ef9ff,2,Blue
1006549,The Prettiest Purples,#cdccff,#bbbbff,#e4e4ff,#c3cfff,#ebddff,2,Purple
1006570,Dusty and Sage with a touch of Taupe,#c0b5ab,#c9a9a6,#c9acae,#c0c0ab,#b1bca0,3,Sage
1006593,Skin tones is it an anime fan,#ddbb99,#f4cccc,#ff9090,#ffcc99,#ffcc90,3,Skin
